id,gender,educ,jobcat,salary,salbegin,jobtime,prevexp,minority
3,f,12,1,21450,12000,98,381,0
4,f,8,1,21900,13200,98,190,0
8,f,12,1,21900,9750,98,0,0
9,f,15,1,27900,12750,98,115,0
10,f,12,1,24000,13500,98,244,0
11,f,16,1,30300,16500,98,143,0
20,f,12,1,26250,11550,97,48,0
21,f,16,1,38850,15000,97,17,0
36,f,8,1,31350,11250,96,52,0
46,f,15,1,22350,12750,95,165,0
47,f,12,1,30000,16500,95,228,0
58,f,15,1,26400,13500,94,3,0
72,f,16,1,54000,18000,93,11,0
73,f,12,1,26400,10500,93,0,0
74,f,15,1,33900,19500,93,192,0
75,f,15,1,24150,11550,93,0,0
76,f,15,1,29250,11550,93,11,0
77,f,12,1,27600,11400,93,6,0
78,f,12,1,22950,10500,93,10,0
79,f,16,1,34800,14550,93,8,0
80,f,16,1,51000,18000,93,22,0
81,f,12,1,24300,10950,93,5,0
90,f,8,1,16200,9750,92,0,0
91,f,12,1,20100,11250,92,24,0
92,f,8,1,24000,10950,92,6,0
93,f,12,1,25950,10950,92,0,0
94,f,12,1,24600,10050,92,44,0
95,f,12,1,28500,10500,92,6,0
107,f,12,1,25200,14400,91,83,0
108,f,12,1,21000,11550,91,108,0
117,f,12,1,31500,18750,90,205,0
118,f,12,1,31650,14250,90,48,0
119,f,12,1,25200,14100,90,55,0
120,f,16,3,37800,15750,90,7,0
121,f,15,1,18750,10500,90,54,0
122,f,15,1,32550,13500,90,22,0
123,f,12,1,33300,15000,90,3,0
124,f,16,1,38550,16500,90,0,0
134,f,16,3,41550,24990,89,285,0
135,f,12,1,26250,10950,89,0,0
139,f,8,1,20100,13200,88,90,0
140,f,12,1,22350,13500,88,26,0
141,f,15,1,35550,13350,88,32,0
142,f,12,1,28500,13950,88,34,0
143,f,12,1,24450,13200,88,107,0
144,f,8,1,16650,9750,88,412,0
153,f,12,1,26700,12900,87,18,0
154,f,12,1,20850,12000,87,163,0
164,f,15,1,29400,16500,86,24,0
165,f,15,1,33300,13500,86,24,0
166,f,12,1,21900,9750,86,156,0
167,f,12,1,18150,9750,86,72,0
168,f,16,3,46875,17250,86,19,0
176,f,16,1,35700,17250,85,19,0
177,f,12,1,28500,16500,85,69,0
178,f,12,1,17100,10200,85,72,0
188,f,12,1,34500,18750,84,208,0
189,f,12,1,36000,19980,84,240,0
190,f,8,1,29100,16500,84,35,0
191,f,12,1,16500,10200,84,288,0
208,f,12,1,24000,11250,83,16,0
209,f,8,1,19800,10200,83,75,0
221,f,12,1,24000,13800,82,97,0
222,f,15,1,27750,19500,82,265,0
223,f,8,1,22350,10200,82,48,0
224,f,12,1,16200,10200,82,0,0
225,f,15,1,21900,12750,82,0,0
226,f,16,1,23250,15750,82,4,0
227,f,12,1,33900,12000,82,11,0
228,f,15,1,25650,14250,82,51,0
229,f,12,1,17250,10200,82,358,0
236,f,8,1,27450,12000,81,9,0
237,f,12,1,22650,11250,81,0,0
238,f,12,1,27300,11250,81,5,0
239,f,12,1,27750,11225,81,5,0
240,f,16,3,54375,18750,81,81,0
241,f,8,1,17400,10200,81,390,0
242,f,12,1,40800,18000,81,4,0
243,f,12,1,23100,10950,81,0,0
244,f,8,1,22500,10950,81,5,0
245,f,12,1,26700,11550,81,18,0
246,f,12,1,24900,11250,81,0,0
247,f,12,1,19650,10950,81,11,0
248,f,12,1,22050,10950,81,9,0
249,f,12,1,25500,12000,81,11,0
250,f,15,1,28200,12750,81,19,0
251,f,12,1,23100,11250,81,13,0
259,f,12,1,19650,11250,80,5,0
260,f,12,1,22350,11250,80,5,0
261,f,12,1,23400,11250,80,18,0
262,f,12,1,24300,10950,80,8,0
263,f,12,1,28500,11250,80,4,0
264,f,12,1,19950,11250,80,8,0
265,f,12,1,23400,11250,80,0,0
266,f,16,1,34500,17250,80,3,0
267,f,12,1,18150,10950,80,0,0
277,f,16,3,43000,17490,79,20,0
278,f,8,1,20850,12000,79,70,0
279,f,12,1,24450,12000,79,8,0
280,f,12,1,24750,10950,79,5,0
297,f,12,1,23400,15300,78,209,0
298,f,12,1,24600,13500,78,47,0
299,f,15,1,32550,18000,78,6,0
311,f,12,1,22500,12000,77,63,0
312,f,12,1,25650,14250,77,64,0
313,f,12,1,21300,11250,77,0,0
314,f,12,1,29850,13500,77,38,0
315,f,12,1,34500,12150,77,4,0
321,f,12,1,22050,12000,76,6,0
322,f,12,1,22500,14250,76,90,0
323,f,15,1,25500,12000,76,7,0
324,f,12,1,29160,15000,76,22,0
325,f,8,1,16800,10200,76,76,0
331,f,12,1,24450,12000,75,144,0
332,f,16,1,33000,18000,75,26,0
333,f,15,1,37050,18000,75,5,0
337,f,12,1,26100,11550,74,2,0
338,f,8,1,15900,10200,74,43,0
339,f,8,1,23700,10650,74,281,0
340,f,8,1,21750,12450,74,318,0
345,f,12,1,22200,16500,73,7,0
346,f,15,1,22950,13950,73,22,0
347,f,12,1,23100,12000,73,228,0
348,f,16,3,56750,30000,73,15,0
349,f,17,1,29100,12750,73,375,0
350,f,12,1,37650,15750,73,132,0
351,f,12,1,27900,13500,73,32,0
352,f,8,1,21150,12000,73,159,0
357,f,8,1,17700,10200,72,184,0
358,f,15,1,23550,13500,72,49,0
359,f,12,1,19950,10200,72,56,0
360,f,12,1,29400,15300,72,30,0
361,f,12,1,28800,13950,72,18,0
362,f,8,1,16950,10200,72,319,0
370,f,16,1,36600,18000,71,12,0
371,f,16,3,58125,18000,71,11,0
378,f,8,1,15750,10200,70,275,0
379,f,8,1,19650,13050,70,102,0
380,f,12,1,21000,13500,70,82,0
390,f,15,1,24150,13500,69,7,0
391,f,12,1,24450,12450,69,12,0
392,f,12,1,21600,12000,69,0,0
393,f,12,1,27900,12450,69,0,0
394,f,8,1,29100,12450,69,17,0
395,f,12,1,22650,11250,69,2,0
396,f,12,1,20850,11250,69,0,0
397,f,12,1,22950,12300,69,5,0
398,f,12,1,30600,12450,69,5,0
399,f,12,1,20400,11250,69,0,0
400,f,12,1,23850,12750,69,20,0
401,f,12,1,22800,11250,69,0,0
402,f,12,1,20700,11250,69,2,0
410,f,8,1,25200,18750,68,344,0
