actual_label,model_RF,model_LR
1,0.639816239,0.531903798
0,0.490992931,0.414496134
1,0.623814545,0.56988259
1,0.506616321,0.443673982
0,0.418301821,0.369532246
0,0.540665026,0.582447424
0,0.333361061,0.376541858
0,0.309166374,0.287872093
0,0.532530544,0.524140608
0,0.42343359,0.435693303
1,0.521916763,0.567196316
1,0.743298971,0.824111223
0,0.417497107,0.452921167
1,0.554352582,0.563542402
0,0.463867209,0.47115097
1,0.758784301,0.723438466
1,0.532429246,0.378875067
1,0.413642485,0.362574839
0,0.379254155,0.295488776
0,0.436572271,0.571983908
0,0.449132781,0.418533649
1,0.617142237,0.645555761
1,0.587257384,0.531826204
0,0.433065492,0.346788835
0,0.442715543,0.433066334
1,0.630752142,0.507388819
1,0.497104512,0.517194325
1,0.508553155,0.450013867
1,0.652765705,0.593183251
0,0.537644825,0.664163883
0,0.373786654,0.372076521
0,0.494532221,0.527718229
0,0.438732574,0.414813447
1,0.657171047,0.418148931
0,0.346871446,0.328100913
1,0.437408174,0.40607648
0,0.47272158,0.517981056
1,0.457259942,0.520188653
1,0.623441706,0.585759673
0,0.363705861,0.352444862
1,0.425102664,0.348058533
0,0.554612596,0.539238195
0,0.380346103,0.412593015
0,0.41227479,0.406061105
0,0.338183976,0.353300366
0,0.525634723,0.606652466
1,0.516313601,0.390262441
1,0.504914681,0.498945668
0,0.487002939,0.47437694
1,0.56697188,0.656916044
1,0.458105601,0.390612638
0,0.469317976,0.364488638
0,0.482020984,0.321580884
1,0.627960574,0.494749035
0,0.482248041,0.4746381
1,0.488240121,0.408642694
1,0.668573465,0.65407514
1,0.531457768,0.453473261
1,0.44550201,0.333742194
0,0.410741759,0.388643263
0,0.391519506,0.423862799
1,0.529068946,0.533001516
0,0.516734106,0.645805952
0,0.417168171,0.379451754
0,0.397591676,0.432220743
1,0.389391142,0.33286699
1,0.425941314,0.442413571
1,0.755667783,0.792518935
0,0.406478715,0.361648125
0,0.418915209,0.381314875
0,0.493870943,0.516639419
0,0.453505517,0.408169971
0,0.632286961,0.534178672
1,0.429617,0.333969961
0,0.69377532,0.624279824
1,0.539696227,0.699450961
0,0.501172513,0.43536771
1,0.440963436,0.417030943
0,0.579729791,0.542877334
1,0.515944267,0.619093681
0,0.470517674,0.399051182
0,0.580430284,0.582205174
1,0.545049323,0.576955002
1,0.466638208,0.44295237
0,0.447856293,0.466828707
1,0.597500901,0.655909813
0,0.506893338,0.456289538
0,0.441914989,0.35020723
0,0.337132455,0.430408507
1,0.611869901,0.62685207
0,0.397104905,0.371284067
1,0.596919181,0.409191056
1,0.601162827,0.495985059
1,0.411901517,0.367448047
0,0.519142858,0.540219476
1,0.851413933,0.941451996
0,0.3253393,0.344702792
1,0.616381097,0.526555484
0,0.524842867,0.499061374
1,0.385712278,0.325120501
1,0.665480074,0.622168994
0,0.381426625,0.312179837
0,0.415628818,0.271106298
0,0.413202536,0.351128725
1,0.531210461,0.493674428
0,0.416184277,0.365750796
0,0.493009927,0.572185842
1,0.599255526,0.595993004
0,0.387873208,0.349552926
0,0.440860896,0.44066049
1,0.447032667,0.427967423
1,0.493383805,0.466646378
1,0.33456132,0.379087643
0,0.371675427,0.342357947
0,0.510513367,0.477364151
0,0.470055879,0.467266686
1,0.391491928,0.287568757
1,0.646867899,0.694279485
1,0.430684938,0.386186921
1,0.421323687,0.338422415
1,0.582131454,0.7573147
0,0.483853508,0.614393913
1,0.409356342,0.350630688
1,0.56116828,0.529758123
0,0.596378711,0.627266858
0,0.451762642,0.462218067
0,0.49518292,0.487004385
0,0.492987155,0.477655935
0,0.404141021,0.384441837
1,0.574236242,0.374080279
0,0.570427456,0.499290676
0,0.531787143,0.423174503
1,0.373650253,0.421893025
0,0.196003827,0.536496176
1,0.621365577,0.571891932
0,0.384942334,0.36988822
1,0.587626635,0.520240701
1,0.551530331,0.622836664
0,0.451698108,0.397316598
1,0.361965345,0.352177243
1,0.468608796,0.407905218
1,0.579762156,0.758398772
0,0.557387306,0.651747915
0,0.366870258,0.533908088
0,0.431053637,0.429480635
1,0.450146498,0.391388699
0,0.47996006,0.572326048
1,0.744886378,0.821335328
1,0.535689155,0.469801669
0,0.578342462,0.589099826
1,0.488880572,0.447215322
1,0.424736123,0.398566856
1,0.650687587,0.710313069
0,0.513014345,0.491351531
0,0.499733294,0.525410689
1,0.43908127,0.36321126
0,0.508985346,0.486444216
0,0.524191269,0.504233195
0,0.547151406,0.52479784
0,0.534692746,0.60983499
1,0.56069961,0.369072747
1,0.55662863,0.581199741
1,0.410702666,0.416081198
0,0.569184021,0.525698258
1,0.548282638,0.549264887
1,0.548236071,0.473954289
1,0.676215514,0.696763184
0,0.451281044,0.353998633
1,0.722977031,0.832480931
1,0.492775265,0.451533339
0,0.451541835,0.471879142
0,0.342957211,0.384611233
1,0.761323212,0.646675885
0,0.34922983,0.392086764
0,0.524191269,0.507160727
0,0.337639572,0.321529117
1,0.691852762,0.591241316
1,0.476715326,0.479551472
1,0.688371198,0.504379176
0,0.449033076,0.34358189
0,0.503477992,0.657612268
0,0.419040577,0.367601245
0,0.571788124,0.519256193
0,0.335543611,0.404065366
1,0.523241416,0.708570056
0,0.458105601,0.352678794
1,0.364643122,0.262517876
0,0.462079174,0.37333982
1,0.59221825,0.573930815
0,0.581858097,0.810058875
1,0.646893598,0.92464673
0,0.372596137,0.296597753
1,0.45109622,0.485146679
1,0.448483069,0.333620315
1,0.388920184,0.434060462
1,0.638385115,0.873054967
1,0.496099396,0.450814497
1,0.657895397,0.470408601
0,0.400730986,0.370183694
1,0.528862898,0.626265924
0,0.331134182,0.379955169
1,0.699116709,0.845974815
1,0.524218109,0.513236455
1,0.652851759,0.567802292
1,0.505566655,0.419870667
1,0.578482187,0.731144763
0,0.471156091,0.38619276
1,0.737935435,0.751601061
0,0.623943464,0.758639368
